id,publicDate,source,coAuthorship,citationCount,refCount,Class
202200237,01/12/2022,1,10,4,50,['MULT']
202200208,01/12/2022,1,6,6,81,['MULT']
202200033,15/12/2022,1,8,4,64,"['CENG', 'ENER', 'CHEM']"
202200201,01/12/2022,1,2,5,15,['MEDI']
202200206,01/12/2022,1,6,13,10,['MEDI']
202200034,14/12/2022,1,6,1,55,"['MATE', 'PHYS', 'ENGI']"
202200239,01/12/2022,1,6,3,,"['MEDI', 'DENT', 'BIOC']"
202200068,01/12/2022,1,2,9,61,"['ENVI', 'AGRI', 'ENGI']"
202200291,01/12/2022,1,8,11,44,['ENGI']
202200265,01/12/2022,1,4,0,3,['BIOC']
202200057,02/12/2022,1,7,2,63,['AGRI']
202200050,09/12/2022,1,4,0,,['MEDI']
202200262,01/12/2022,1,6,5,63,['MULT']
202200296,01/12/2022,1,5,3,67,"['ENVI', 'CENG', 'ENGI']"
202200059,02/12/2022,1,13,5,53,"['AGRI', 'BIOC', 'MEDI']"
202200066,01/12/2022,1,2,1,48,['MEDI']
202200254,01/12/2022,1,12,5,27,['MULT']
202200092,01/12/2022,1,8,1,57,['MULT']
202200298,01/12/2022,1,10,1,51,"['ENVI', 'ENGI', 'EART']"
202200095,01/12/2022,1,4,2,60,['MULT']
202200253,01/12/2022,1,6,6,40,['MEDI']
202200061,02/12/2022,1,6,0,59,"['NEUR', 'MEDI']"
202200035,13/12/2022,1,8,9,49,"['PHAR', 'MEDI']"
202200207,01/12/2022,1,3,1,43,"['ENGI', 'EART']"
202200238,01/12/2022,1,9,2,24,['MEDI']
202200200,01/12/2022,1,9,3,29,['MEDI']
202200032,15/12/2022,1,6,12,38,"['CHEM', 'CENG']"
202200236,01/12/2022,1,6,1,47,['MULT']
202200004,30/12/2022,1,6,2,65,"['PHYS', 'MATE']"
202200209,01/12/2022,1,6,10,56,['MULT']
202200003,31/12/2022,1,5,14,50,"['CHEM', 'CENG', 'ENGI']"
202200231,01/12/2022,1,3,7,19,['MEDI']
202200047,09/12/2022,1,5,1,35,"['PHYS', 'CHEM']"
202200275,01/12/2022,1,11,15,59,['MULT']
202200281,01/12/2022,1,14,0,31,['MEDI']
202200078,01/12/2022,1,4,0,57,['COMP']
202200286,01/12/2022,1,5,7,80,['ENGI']
202200272,01/12/2022,1,3,3,52,"['AGRI', 'ENER', 'ENVI']"
202200040,10/12/2022,1,5,8,103,"['BIOC', 'CENG', 'IMMU']"
202200082,01/12/2022,1,4,0,24,['BUSI']
202200244,01/12/2022,1,6,5,86,"['CENG', 'ENVI']"
202200076,01/12/2022,1,2,1,36,"['SOCI', 'PHYS', 'EART']"
202200049,09/12/2022,1,5,5,58,"['CHEM', 'CENG']"
202200071,01/12/2022,1,1,,27,"['COMP', 'DECI', 'MATH']"
202200243,01/12/2022,1,2,1,27,['MEDI']
202200085,01/12/2022,1,7,0,48,['VETE']
202200288,01/12/2022,1,10,2,33,['MULT']
202200228,01/12/2022,1,5,4,69,['AGRI']
202200217,01/12/2022,1,5,5,33,['MEDI']
202200025,16/12/2022,1,2,2,167,"['NEUR', 'MEDI']"
202200022,19/12/2022,1,2,1,53,"['CHEM', 'CENG', 'ENGI']"
202200210,01/12/2022,1,9,2,37,['ENGI']
202200219,01/12/2022,1,11,0,51,"['MEDI', 'IMMU']"
202200014,27/12/2022,1,5,10,97,['MEDI']
202200226,01/12/2022,1,6,12,56,['MULT']
202200221,01/12/2022,1,6,5,68,['MULT']
202200013,27/12/2022,1,8,84,217,"['MATE', 'ENGI', 'PHYS']"
202200084,01/12/2022,1,7,0,77,"['ENVI', 'SOCI', 'ECON']"
202200242,01/12/2022,1,10,12,310,"['CENG', 'MATE']"
202200070,01/12/2022,1,4,4,40,"['MATE', 'ENER']"
202200289,01/12/2022,1,5,2,54,"['MATE', 'ENGI']"
202200077,01/12/2022,1,11,2,26,['MEDI']
202200245,01/12/2022,1,3,1,75,"['BUSI', 'COMP']"
202200083,01/12/2022,1,3,1,95,"['ARTS', 'PHYS', 'SOCI']"
202200048,09/12/2022,1,5,6,52,['PSYC']
202200041,10/12/2022,1,5,0,27,['PHYS']
202200273,01/12/2022,1,4,8,39,"['SOCI', 'ENGI', 'ENER']"
202200287,01/12/2022,1,5,9,56,"['CHEM', 'MATE', 'PHYS', 'ENGI']"
202200280,01/12/2022,1,5,2,98,['MULT']
202200274,01/12/2022,1,7,5,33,['MEDI']
202200046,09/12/2022,1,3,3,71,"['CHEM', 'BIOC', 'PHAR', 'MEDI']"
202200079,01/12/2022,1,2350,5,91,"['ENGI', 'PHYS']"
202200012,27/12/2022,1,8,8,,"['MEDI', 'IMMU']"
202200220,01/12/2022,1,12,6,36,['MEDI']
202200218,01/12/2022,1,6,3,31,['MEDI']
202200227,01/12/2022,1,5,4,39,['MULT']
202200015,23/12/2022,1,9,2,60,['VETE']
202200211,01/12/2022,1,33,8,32,['MEDI']
202200023,19/12/2022,1,17,3,88,"['ENER', 'PHYS']"
202200229,01/12/2022,1,3,0,37,"['MATE', 'ENGI']"
202200024,19/12/2022,1,10,4,31,"['ENER', 'PHYS']"
202200216,01/12/2022,1,3,2,26,['COMP']
202200156,01/12/2022,1,11,2,54,['MEDI']
202200169,01/12/2022,1,5,34,314,['MEDI']
202200151,01/12/2022,1,9,31,171,['PHYS']
202200193,01/12/2022,1,9,2,56,['MULT']
202200167,01/12/2022,1,3,4,31,"['MATE', 'ENGI']"
202200158,01/12/2022,1,8,1,26,['MULT']
202200160,01/12/2022,1,2,0,55,['MULT']
202200194,01/12/2022,1,7,1,35,['ENGI']
202200134,01/12/2022,1,6,1,42,"['ENVI', 'MEDI']"
202200133,01/12/2022,1,6,4,58,"['CHEM', 'BIOC', 'PHAR']"
202200105,01/12/2022,1,2,1,62,"['COMP', 'SOCI', 'ENER', 'ENVI']"
202200102,01/12/2022,1,2,2,43,"['COMP', 'SOCI', 'ENER', 'ENGI', 'ENVI']"
202200195,01/12/2022,1,5,0,48,"['ARTS', 'SOCI', 'COMP']"
202200161,01/12/2022,1,8,10,47,"['COMP', 'SOCI', 'ENER', 'ENGI', 'ENVI']"
202200166,01/12/2022,1,6,4,56,"['CHEM', 'BIOC', 'PHAR']"
202200192,01/12/2022,1,6,1,11,"['MEDI', 'NURS']"
202200159,01/12/2022,1,4,16,82,['MEDI']
202200150,01/12/2022,1,4,4,56,['MULT']
202200157,01/12/2022,1,3,1,44,['MEDI']
202200168,01/12/2022,1,5,2,54,"['BIOC', 'SOCI', 'AGRI', 'ENVI']"
202200103,01/12/2022,1,4,0,43,['VETE']
202200104,01/12/2022,1,7,7,63,"['ENGI', 'ENVI']"
202200300,01/12/2022,1,6,3,34,['DENT']
202200132,01/12/2022,1,6,7,55,"['CHEM', 'BIOC', 'PHAR']"
202200135,01/12/2022,1,5,0,,['MULT']
202200117,01/12/2022,1,3,5,37,"['PHYS', 'COMP', 'MATH']"
202200128,01/12/2022,1,5,5,36,['MULT']
202200110,01/12/2022,1,6,5,85,"['IMMU', 'BIOC', 'PHAR', 'MEDI']"
202200126,01/12/2022,1,8,5,26,['MEDI']
202200119,01/12/2022,1,2,4,49,"['AGRI', 'ENVI']"
202200121,01/12/2022,1,10,2,27,"['IMMU', 'PHAR', 'MEDI']"
202200181,01/12/2022,1,8,2,50,['MULT']
202200175,01/12/2022,1,3,3,38,['MULT']
202200172,01/12/2022,1,8,8,46,"['CHEM', 'BIOC', 'PHAR']"
202200186,01/12/2022,1,15,1,43,['MEDI']
202200144,01/12/2022,1,3,1,20,['MEDI']
202200188,01/12/2022,1,4,1,45,['MEDI']
202200143,01/12/2022,1,2,1,49,['MEDI']
202200120,01/12/2022,1,2,2,37,"['ENGI', 'MATH', 'COMP']"
202200127,01/12/2022,1,4,7,63,['MULT']
202200118,01/12/2022,1,3,0,16,"['COMP', 'MATH', 'ENGI']"
202200111,01/12/2022,1,4,1,37,"['AGRI', 'BIOC', 'EART']"
202200116,01/12/2022,1,4,8,40,['MATH']
202200129,01/12/2022,1,8,8,75,"['CHEM', 'MATE']"
202200189,01/12/2022,1,6,8,51,"['IMMU', 'ENVI', 'AGRI']"
202200142,01/12/2022,1,6,1,54,"['MEDI', 'IMMU']"
202200145,01/12/2022,1,1,1,59,['ARTS']
202200187,01/12/2022,1,4,5,44,['MULT']
202200173,01/12/2022,1,3,2,48,"['CHEM', 'BIOC', 'PHAR']"
202200174,01/12/2022,1,8,7,35,['MULT']
202200180,01/12/2022,1,4,3,26,"['AGRI', 'VETE']"
202200234,01/12/2022,1,8,3,41,['MEDI']
202200006,30/12/2022,1,6,17,141,"['ENER', 'PHYS']"
202200039,10/12/2022,1,2319,3,60,['PHYS']
202200001,31/12/2022,1,7,5,39,['BIOC']
202200233,01/12/2022,1,23,5,17,"['IMMU', 'BIOC', 'MEDI']"
202200037,12/12/2022,1,3,9,41,"['CENG', 'MATE']"
202200205,01/12/2022,1,11,3,4,['MEDI']
202200008,29/12/2022,1,6,0,110,['ENGI']
202200202,01/12/2022,1,5,0,35,['AGRI']
202200030,15/12/2022,1,4,11,65,['ENGI']
202200269,01/12/2022,1,7,3,70,"['IMMU', 'VETE']"
202200090,01/12/2022,1,3,0,21,"['MATH', 'DECI']"
202200064,01/12/2022,1,9,0,36,['MEDI']
202200256,01/12/2022,1,6,6,56,"['MATE', 'ENGI']"
202200251,01/12/2022,1,3,3,69,"['CHEM', 'CENG']"
202200063,01/12/2022,1,6,0,38,['BIOC']
202200097,01/12/2022,1,11,4,57,['MEDI']
202200258,01/12/2022,1,6,3,25,"['CHEM', 'MATE']"
202200267,01/12/2022,1,11,6,36,['MULT']
202200055,03/12/2022,1,4,0,36,['MATH']
202200293,01/12/2022,1,9,1,62,['NURS']
202200099,01/12/2022,1,5,1,,['MEDI']
202200294,01/12/2022,1,3,0,53,"['COMP', 'DECI', 'ENGI']"
202200052,06/12/2022,1,2,3,37,"['BIOC', 'CENG', 'MEDI', 'ENGI']"
202200260,01/12/2022,1,10,4,39,['MULT']
202200031,15/12/2022,1,3,6,16,"['ENER', 'CHEM', 'ENGI']"
202200203,01/12/2022,1,3,0,5,['MEDI']
202200204,01/12/2022,1,4,2,22,"['PHAR', 'MEDI']"
202200036,13/12/2022,1,9,4,48,"['CHEM', 'CENG']"
202200009,29/12/2022,1,1,0,23,['SOCI']
202200232,01/12/2022,1,6,0,23,['MEDI']
202200000,31/12/2022,1,3,2,44,"['BIOC', 'CENG', 'ENVI', 'ENGI']"
202200007,30/12/2022,1,4,18,172,"['ENER', 'PHYS']"
202200235,01/12/2022,1,9,7,48,['MEDI']
202200038,12/12/2022,1,8,4,70,"['MATH', 'ENGI', 'PHYS']"
202200098,01/12/2022,1,44,1,48,['MULT']
202200261,01/12/2022,1,11,4,58,['MULT']
202200053,05/12/2022,1,11,2,40,['VETE']
202200295,01/12/2022,1,10,3,35,"['IMMU', 'MEDI']"
202200259,01/12/2022,1,10,1,74,"['EART', 'AGRI']"
202200292,01/12/2022,1,7,2,11,['MULT']
202200054,05/12/2022,1,2,0,23,"['ECON', 'BUSI', 'SOCI']"
202200266,01/12/2022,1,6,4,61,['MULT']
202200096,01/12/2022,1,9,1,77,"['AGRI', 'BIOC', 'MEDI']"
202200062,01/12/2022,1,1,0,85,"['ARTS', 'SOCI']"
202200250,01/12/2022,1,11,3,50,['MULT']
202200268,01/12/2022,1,9,2,29,['MEDI']
202200257,01/12/2022,1,5,16,87,"['DECI', 'AGRI', 'ENVI']"
202200065,01/12/2022,1,7,0,24,['MEDI']
202200091,01/12/2022,1,7,7,68,['MEDI']
